Date,Time,CO(GT),T
2004-03-17,23.00.00,2.6,16.0
2004-03-18,00.00.00,2.3,14.8
2004-03-18,01.00.00,1.4,14.3
2004-03-18,02.00.00,1.0,14.8
2004-03-18,03.00.00,0.7,13.9
2004-03-18,04.00.00,,11.6
2004-03-18,05.00.00,0.6,12.0
2004-03-18,06.00.00,0.7,10.9
2004-03-18,07.00.00,1.5,10.6
2004-03-18,08.00.00,4.7,11.5
2004-03-18,09.00.00,6.6,14.3
2004-03-18,10.00.00,4.5,17.8
2004-03-18,11.00.00,2.8,20.8
2004-03-18,12.00.00,2.2,23.8
2004-03-18,13.00.00,2.2,24.2
2004-03-18,14.00.00,2.3,25.2
2004-03-18,15.00.00,2.2,27.0
2004-03-18,16.00.00,2.8,27.1
2004-03-18,17.00.00,2.7,25.8
2004-03-18,18.00.00,3.7,23.0
2004-03-18,19.00.00,5.1,20.7
2004-03-18,20.00.00,5.1,18.6
2004-03-18,21.00.00,3.2,16.0
2004-03-18,22.00.00,2.1,14.5
2004-03-18,23.00.00,1.7,13.1
2004-03-19,00.00.00,2.0,12.0
2004-03-19,01.00.00,1.6,11.9
2004-03-19,02.00.00,0.9,12.5
2004-03-19,03.00.00,0.7,12.5
2004-03-19,04.00.00,,12.3
2004-03-19,05.00.00,0.5,12.5
2004-03-19,06.00.00,0.7,12.3
2004-03-19,07.00.00,1.5,12.4
2004-03-19,08.00.00,4.8,13.0
2004-03-19,09.00.00,6.2,13.6
2004-03-19,10.00.00,4.0,13.9
2004-03-19,11.00.00,3.3,14.5
2004-03-19,12.00.00,2.8,15.5
2004-03-19,13.00.00,3.0,16.1
2004-03-19,14.00.00,3.3,16.3
2004-03-19,15.00.00,3.5,16.4
2004-03-19,16.00.00,4.0,16.1
2004-03-19,17.00.00,4.6,16.0
2004-03-19,18.00.00,4.1,15.8
2004-03-19,19.00.00,4.5,15.5
2004-03-19,20.00.00,3.9,15.4
2004-03-19,21.00.00,4.0,15.2
2004-03-19,22.00.00,2.2,14.7
2004-03-19,23.00.00,2.1,14.2
2004-03-20,00.00.00,1.7,13.8
2004-03-20,01.00.00,1.6,13.9
2004-03-20,02.00.00,1.3,13.9
2004-03-20,03.00.00,1.3,13.8
2004-03-20,04.00.00,,13.8
2004-03-20,05.00.00,0.8,13.6
2004-03-20,06.00.00,0.8,13.6
2004-03-20,07.00.00,1.1,13.5
2004-03-20,08.00.00,2.1,13.8
2004-03-20,09.00.00,2.4,14.6
2004-03-20,10.00.00,2.6,15.0
2004-03-20,11.00.00,2.8,15.4
2004-03-20,12.00.00,2.6,16.3
2004-03-20,13.00.00,2.6,17.1
2004-03-20,14.00.00,2.1,19.0
2004-03-20,15.00.00,1.7,19.5
2004-03-20,16.00.00,1.6,19.5
2004-03-20,17.00.00,2.1,19.1
2004-03-20,18.00.00,2.3,18.5
2004-03-20,19.00.00,3.5,17.4
2004-03-20,20.00.00,3.9,17.1
2004-03-20,21.00.00,3.3,16.4
2004-03-20,22.00.00,2.3,16.2
2004-03-20,23.00.00,2.1,15.9
2004-03-21,00.00.00,2.8,15.7
2004-03-21,01.00.00,2.1,15.1
2004-03-21,02.00.00,1.6,15.6
2004-03-21,03.00.00,1.6,15.2
2004-03-21,04.00.00,,15.4
2004-03-21,05.00.00,1.1,14.9
2004-03-21,06.00.00,0.7,14.5
2004-03-21,07.00.00,0.8,14.2
2004-03-21,08.00.00,1.2,14.5
2004-03-21,09.00.00,1.4,15.3
2004-03-21,10.00.00,1.7,16.3
2004-03-21,11.00.00,1.8,18.9
2004-03-21,12.00.00,1.8,19.4
2004-03-21,13.00.00,1.9,20.8
2004-03-21,14.00.00,1.3,21.4
2004-03-21,15.00.00,1.6,21.2
2004-03-21,16.00.00,1.9,20.3
2004-03-21,17.00.00,2.3,19.4
2004-03-21,18.00.00,3.8,18.5
2004-03-21,19.00.00,3.5,17.8
2004-03-21,20.00.00,4.3,17.9
2004-03-21,21.00.00,2.8,17.4
2004-03-21,22.00.00,1.9,17.0
2004-03-21,23.00.00,1.9,16.4
2004-03-22,00.00.00,1.7,16.1
2004-03-22,01.00.00,1.5,15.8
2004-03-22,02.00.00,0.6,16.3
2004-03-22,03.00.00,0.4,16.9
2004-03-22,04.00.00,,16.1
2004-03-22,05.00.00,0.3,16.5
2004-03-22,06.00.00,0.6,16.4
2004-03-22,07.00.00,1.2,15.7
2004-03-22,08.00.00,3.6,15.8
2004-03-22,09.00.00,3.7,17.4
2004-03-22,10.00.00,1.8,17.9
2004-03-22,11.00.00,1.6,18.5
2004-03-22,12.00.00,1.9,21.0
2004-03-22,13.00.00,2.0,21.3
2004-03-22,14.00.00,2.2,21.3
2004-03-22,15.00.00,2.1,21.3
2004-03-22,16.00.00,2.3,21.3
2004-03-22,17.00.00,2.6,20.2
2004-03-22,18.00.00,3.8,17.0
2004-03-22,19.00.00,4.4,15.6
2004-03-22,20.00.00,4.5,15.3
2004-03-22,21.00.00,3.3,14.5
2004-03-22,22.00.00,2.0,13.9
2004-03-22,23.00.00,1.1,14.5
2004-03-23,00.00.00,0.9,13.8
2004-03-23,01.00.00,0.8,14.0
2004-03-23,02.00.00,0.7,13.0
2004-03-23,03.00.00,0.5,11.0
2004-03-23,04.00.00,,10.1
2004-03-23,05.00.00,0.3,8.8
2004-03-23,06.00.00,0.5,9.6
2004-03-23,07.00.00,1.1,9.8
2004-03-23,08.00.00,3.0,10.0
2004-03-23,09.00.00,3.8,11.2
2004-03-23,10.00.00,3.4,12.0
2004-03-23,11.00.00,3.0,12.8
2004-03-23,12.00.00,2.7,13.1
2004-03-23,13.00.00,3.5,13.8
2004-03-23,14.00.00,2.8,16.0
2004-03-23,15.00.00,1.9,14.1
2004-03-23,16.00.00,2.0,12.0
2004-03-23,17.00.00,3.0,13.6
2004-03-23,18.00.00,1.9,13.7
2004-03-23,19.00.00,2.7,11.7
2004-03-23,20.00.00,3.3,11.5
2004-03-23,21.00.00,1.7,12.6
2004-03-23,22.00.00,1.3,12.0
2004-03-23,23.00.00,1.3,11.0
2004-03-24,00.00.00,1.2,11.1
2004-03-24,01.00.00,1.1,10.8
2004-03-24,02.00.00,0.9,11.3
2004-03-24,03.00.00,0.6,10.6
2004-03-24,04.00.00,,10.2
2004-03-24,05.00.00,0.6,10.9
2004-03-24,06.00.00,0.8,10.8
2004-03-24,07.00.00,1.2,10.4
2004-03-24,08.00.00,3.1,11.0
2004-03-24,09.00.00,4.4,11.2
2004-03-24,10.00.00,3.4,12.1
2004-03-24,11.00.00,1.7,15.1
2004-03-24,12.00.00,1.5,15.6
2004-03-24,13.00.00,1.7,16.9
2004-03-24,14.00.00,2.2,16.6
2004-03-24,15.00.00,,11.3
2004-03-24,16.00.00,2.7,9.6
2004-03-24,17.00.00,2.8,11.7
2004-03-24,18.00.00,2.7,10.7
2004-03-24,19.00.00,4.5,10.7
2004-03-24,20.00.00,3.5,10.8
2004-03-24,21.00.00,2.6,10.3
2004-03-24,22.00.00,1.7,10.1
2004-03-24,23.00.00,1.3,10.4
