Date,Time,T,Day,Hour
2004-03-13,15.00.00,18.4,13,15
2004-03-13,16.00.00,17.6,13,16
2004-03-13,17.00.00,16.7,13,17
2004-03-13,18.00.00,16.1,13,18
2004-03-13,19.00.00,15.8,13,19
2004-03-13,20.00.00,15.7,13,20
2004-03-13,21.00.00,15.3,13,21
2004-03-13,22.00.00,14.6,13,22
2004-03-13,23.00.00,14.7,13,23
2004-03-14,00.00.00,13.9,14,0
2004-03-14,01.00.00,14.6,14,1
2004-03-14,02.00.00,12.5,14,2
2004-03-14,03.00.00,11.6,14,3
2004-03-14,04.00.00,12.1,14,4
2004-03-14,05.00.00,11.5,14,5
2004-03-14,06.00.00,11.6,14,6
2004-03-14,07.00.00,10.4,14,7
2004-03-14,08.00.00,11.6,14,8
2004-03-14,09.00.00,12.4,14,9
2004-03-14,10.00.00,14.5,14,10
2004-03-14,11.00.00,16.9,14,11
2004-03-14,12.00.00,19.3,14,12
2004-03-14,13.00.00,21.2,14,13
2004-03-14,14.00.00,21.4,14,14
2004-03-14,15.00.00,21.9,14,15
2004-03-14,16.00.00,22.2,14,16
2004-03-14,17.00.00,21.3,14,17
2004-03-14,18.00.00,19.7,14,18
2004-03-14,19.00.00,18.4,14,19
2004-03-14,20.00.00,17.6,14,20
2004-03-14,21.00.00,16.7,14,21
2004-03-14,22.00.00,16.3,14,22
2004-03-14,23.00.00,14.7,14,23
2004-03-15,00.00.00,14.8,15,0
2004-03-15,01.00.00,14.0,15,1
2004-03-15,02.00.00,13.4,15,2
2004-03-15,03.00.00,12.6,15,3
2004-03-15,04.00.00,12.3,15,4
2004-03-15,05.00.00,11.9,15,5
2004-03-15,06.00.00,11.4,15,6
2004-03-15,07.00.00,11.3,15,7
2004-03-15,08.00.00,12.4,15,8
2004-03-15,09.00.00,14.8,15,9
2004-03-15,10.00.00,17.4,15,10
2004-03-15,11.00.00,19.8,15,11
2004-03-15,12.00.00,22.0,15,12
2004-03-15,13.00.00,23.3,15,13
2004-03-15,14.00.00,23.9,15,14
2004-03-15,15.00.00,24.4,15,15
2004-03-15,16.00.00,24.4,15,16
2004-03-15,17.00.00,23.8,15,17
2004-03-15,18.00.00,22.5,15,18
2004-03-15,19.00.00,20.4,15,19
2004-03-15,20.00.00,18.3,15,20
2004-03-15,21.00.00,16.7,15,21
2004-03-15,22.00.00,15.7,15,22
2004-03-15,23.00.00,15.3,15,23
2004-03-16,00.00.00,14.1,16,0
2004-03-16,01.00.00,14.8,16,1
2004-03-16,02.00.00,14.8,16,2
2004-03-16,03.00.00,13.6,16,3
2004-03-16,04.00.00,12.3,16,4
2004-03-16,05.00.00,12.8,16,5
2004-03-16,06.00.00,11.2,16,6
2004-03-16,07.00.00,11.0,16,7
2004-03-16,08.00.00,11.7,16,8
2004-03-16,09.00.00,13.6,16,9
2004-03-16,10.00.00,17.8,16,10
2004-03-16,11.00.00,21.4,16,11
2004-03-16,12.00.00,24.4,16,12
2004-03-16,13.00.00,25.3,16,13
2004-03-16,14.00.00,25.8,16,14
2004-03-16,15.00.00,27.0,16,15
2004-03-16,16.00.00,28.2,16,16
2004-03-16,17.00.00,28.0,16,17
2004-03-16,18.00.00,23.9,16,18
2004-03-16,19.00.00,21.3,16,19
2004-03-16,20.00.00,20.4,16,20
2004-03-16,21.00.00,19.0,16,21
2004-03-16,22.00.00,17.9,16,22
2004-03-16,23.00.00,16.7,16,23
2004-03-17,00.00.00,15.5,17,0
2004-03-17,01.00.00,15.5,17,1
2004-03-17,02.00.00,14.1,17,2
2004-03-17,03.00.00,13.1,17,3
2004-03-17,04.00.00,12.7,17,4
2004-03-17,05.00.00,11.8,17,5
2004-03-17,06.00.00,11.9,17,6
2004-03-17,07.00.00,9.9,17,7
2004-03-17,08.00.00,11.1,17,8
2004-03-17,09.00.00,14.1,17,9
2004-03-17,10.00.00,17.7,17,10
2004-03-17,11.00.00,21.1,17,11
2004-03-17,12.00.00,24.3,17,12
2004-03-17,13.00.00,25.6,17,13
2004-03-17,14.00.00,25.9,17,14
2004-03-17,15.00.00,26.8,17,15
2004-03-17,16.00.00,29.3,17,16
2004-03-17,17.00.00,28.5,17,17
2004-03-17,18.00.00,25.9,17,18
2004-03-17,19.00.00,23.1,17,19
2004-03-17,20.00.00,20.5,17,20
2004-03-17,21.00.00,19.1,17,21
2004-03-17,22.00.00,17.2,17,22
2004-03-17,23.00.00,16.0,17,23
2004-03-18,00.00.00,14.8,18,0
2004-03-18,01.00.00,14.3,18,1
2004-03-18,02.00.00,14.8,18,2
2004-03-18,03.00.00,13.9,18,3
2004-03-18,04.00.00,11.6,18,4
2004-03-18,05.00.00,12.0,18,5
2004-03-18,06.00.00,10.9,18,6
2004-03-18,07.00.00,10.6,18,7
2004-03-18,08.00.00,11.5,18,8
2004-03-18,09.00.00,14.3,18,9
2004-03-18,10.00.00,17.8,18,10
2004-03-18,11.00.00,20.8,18,11
2004-03-18,12.00.00,23.8,18,12
2004-03-18,13.00.00,24.2,18,13
2004-03-18,14.00.00,25.2,18,14
2004-03-18,15.00.00,27.0,18,15
2004-03-18,16.00.00,27.1,18,16
2004-03-18,17.00.00,25.8,18,17
2004-03-18,18.00.00,23.0,18,18
2004-03-18,19.00.00,20.7,18,19
2004-03-18,20.00.00,18.6,18,20
2004-03-18,21.00.00,16.0,18,21
2004-03-18,22.00.00,14.5,18,22
2004-03-18,23.00.00,13.1,18,23
2004-03-19,00.00.00,12.0,19,0
2004-03-19,01.00.00,11.9,19,1
2004-03-19,02.00.00,12.5,19,2
2004-03-19,03.00.00,12.5,19,3
2004-03-19,04.00.00,12.3,19,4
2004-03-19,05.00.00,12.5,19,5
2004-03-19,06.00.00,12.3,19,6
2004-03-19,07.00.00,12.4,19,7
2004-03-19,08.00.00,13.0,19,8
2004-03-19,09.00.00,13.6,19,9
2004-03-19,10.00.00,13.9,19,10
2004-03-19,11.00.00,14.5,19,11
2004-03-19,12.00.00,15.5,19,12
2004-03-19,13.00.00,16.1,19,13
2004-03-19,14.00.00,16.3,19,14
2004-03-19,15.00.00,16.4,19,15
2004-03-19,16.00.00,16.1,19,16
2004-03-19,17.00.00,16.0,19,17
2004-03-19,18.00.00,15.8,19,18
2004-03-19,19.00.00,15.5,19,19
2004-03-19,20.00.00,15.4,19,20
2004-03-19,21.00.00,15.2,19,21
2004-03-19,22.00.00,14.7,19,22
2004-03-19,23.00.00,14.2,19,23
2004-03-20,00.00.00,13.8,20,0
2004-03-20,01.00.00,13.9,20,1
2004-03-20,02.00.00,13.9,20,2
2004-03-20,03.00.00,13.8,20,3
2004-03-20,04.00.00,13.8,20,4
2004-03-20,05.00.00,13.6,20,5
2004-03-20,06.00.00,13.6,20,6
2004-03-20,07.00.00,13.5,20,7
2004-03-20,08.00.00,13.8,20,8
2004-03-20,09.00.00,14.6,20,9
2004-03-20,10.00.00,15.0,20,10
2004-03-20,11.00.00,15.4,20,11
2004-03-20,12.00.00,16.3,20,12
2004-03-20,13.00.00,17.1,20,13
2004-03-20,14.00.00,19.0,20,14
2004-03-20,15.00.00,19.5,20,15
2004-03-20,16.00.00,19.5,20,16
2004-03-20,17.00.00,19.1,20,17
2004-03-20,18.00.00,18.5,20,18
2004-03-20,19.00.00,17.4,20,19
2004-03-20,20.00.00,17.1,20,20
2004-03-20,21.00.00,16.4,20,21
2004-03-20,22.00.00,16.2,20,22
2004-03-20,23.00.00,15.9,20,23
2004-03-21,00.00.00,15.7,21,0
2004-03-21,01.00.00,15.1,21,1
2004-03-21,02.00.00,15.6,21,2
2004-03-21,03.00.00,15.2,21,3
2004-03-21,04.00.00,15.4,21,4
2004-03-21,05.00.00,14.9,21,5
2004-03-21,06.00.00,14.5,21,6
2004-03-21,07.00.00,14.2,21,7
2004-03-21,08.00.00,14.5,21,8
2004-03-21,09.00.00,15.3,21,9
2004-03-21,10.00.00,16.3,21,10
2004-03-21,11.00.00,18.9,21,11
2004-03-21,12.00.00,19.4,21,12
2004-03-21,13.00.00,20.8,21,13
2004-03-21,14.00.00,21.4,21,14
2004-03-21,15.00.00,21.2,21,15
2004-03-21,16.00.00,20.3,21,16
2004-03-21,17.00.00,19.4,21,17
2004-03-21,18.00.00,18.5,21,18
2004-03-21,19.00.00,17.8,21,19
2004-03-21,20.00.00,17.9,21,20
2004-03-21,21.00.00,17.4,21,21
2004-03-21,22.00.00,17.0,21,22
2004-03-21,23.00.00,16.4,21,23
2004-03-22,00.00.00,16.1,22,0
2004-03-22,01.00.00,15.8,22,1
2004-03-22,02.00.00,16.3,22,2
2004-03-22,03.00.00,16.9,22,3
2004-03-22,04.00.00,16.1,22,4
2004-03-22,05.00.00,16.5,22,5
2004-03-22,06.00.00,16.4,22,6
2004-03-22,07.00.00,15.7,22,7
2004-03-22,08.00.00,15.8,22,8
2004-03-22,09.00.00,17.4,22,9
2004-03-22,10.00.00,17.9,22,10
2004-03-22,11.00.00,18.5,22,11
2004-03-22,12.00.00,21.0,22,12
2004-03-22,13.00.00,21.3,22,13
2004-03-22,14.00.00,21.3,22,14
2004-03-22,15.00.00,21.3,22,15
2004-03-22,16.00.00,21.3,22,16
2004-03-22,17.00.00,20.2,22,17
2004-03-22,18.00.00,17.0,22,18
2004-03-22,19.00.00,15.6,22,19
2004-03-22,20.00.00,15.3,22,20
2004-03-22,21.00.00,14.5,22,21
2004-03-22,22.00.00,13.9,22,22
2004-03-22,23.00.00,14.5,22,23
2004-03-23,00.00.00,13.8,23,0
2004-03-23,01.00.00,14.0,23,1
2004-03-23,02.00.00,13.0,23,2
2004-03-23,03.00.00,11.0,23,3
2004-03-23,04.00.00,10.1,23,4
2004-03-23,05.00.00,8.8,23,5
2004-03-23,06.00.00,9.6,23,6
2004-03-23,07.00.00,9.8,23,7
2004-03-23,08.00.00,10.0,23,8
2004-03-23,09.00.00,11.2,23,9
2004-03-23,10.00.00,12.0,23,10
2004-03-23,11.00.00,12.8,23,11
2004-03-23,12.00.00,13.1,23,12
2004-03-23,13.00.00,13.8,23,13
2004-03-23,14.00.00,16.0,23,14
2004-03-23,15.00.00,14.1,23,15
2004-03-23,16.00.00,12.0,23,16
2004-03-23,17.00.00,13.6,23,17
2004-03-23,18.00.00,13.7,23,18
2004-03-23,19.00.00,11.7,23,19
2004-03-23,20.00.00,11.5,23,20
2004-03-23,21.00.00,12.6,23,21
2004-03-23,22.00.00,12.0,23,22
2004-03-23,23.00.00,11.0,23,23
2004-03-24,00.00.00,11.1,24,0
2004-03-24,01.00.00,10.8,24,1
2004-03-24,02.00.00,11.3,24,2
2004-03-24,03.00.00,10.6,24,3
2004-03-24,04.00.00,10.2,24,4
2004-03-24,05.00.00,10.9,24,5
2004-03-24,06.00.00,10.8,24,6
2004-03-24,07.00.00,10.4,24,7
2004-03-24,08.00.00,11.0,24,8
2004-03-24,09.00.00,11.2,24,9
2004-03-24,10.00.00,12.1,24,10
2004-03-24,11.00.00,15.1,24,11
2004-03-24,12.00.00,15.6,24,12
2004-03-24,13.00.00,16.9,24,13
2004-03-24,14.00.00,16.6,24,14
2004-03-24,15.00.00,11.3,24,15
2004-03-24,16.00.00,9.6,24,16
2004-03-24,17.00.00,11.7,24,17
2004-03-24,18.00.00,10.7,24,18
2004-03-24,19.00.00,10.7,24,19
2004-03-24,20.00.00,10.8,24,20
2004-03-24,21.00.00,10.3,24,21
2004-03-24,22.00.00,10.1,24,22
2004-03-24,23.00.00,10.4,24,23
